epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.130022,0.129067,0.954851,0.00009991,0.000000,0.0010,0.0229,0.000500,9.9
2,0.107553,0.105873,0.839781,0.00010024,0.000000,0.0020,0.0837,0.000500,9.5
3,0.120408,0.118292,0.705265,0.00010137,0.000000,0.0030,0.1605,0.000500,9.5
4,0.111516,0.108511,0.751208,0.00010199,0.000000,0.0040,0.1335,0.000500,9.6
5,0.106133,0.102093,0.808033,0.00010271,0.000000,0.0050,0.1013,0.000500,9.5
6,0.107639,0.102548,0.848508,0.00010384,0.000000,0.0060,0.0790,0.000500,9.6
7,0.109472,0.103396,0.868061,0.00010535,0.000000,0.0070,0.0684,0.000500,9.6
8,0.109479,0.102499,0.872422,0.00010717,0.000000,0.0080,0.0661,0.000500,9.6
9,0.107884,0.100080,0.867148,0.00010924,0.000000,0.0090,0.0689,0.000500,9.7
10,0.106270,0.097713,0.855725,0.00011152,0.000000,0.0100,0.0751,0.000500,9.6
11,0.106214,0.096953,0.841906,0.00011397,0.000000,0.0110,0.0827,0.000500,9.6
12,0.107682,0.097670,0.834305,0.00011646,0.000000,0.0120,0.0869,0.000500,9.5
13,0.107702,0.096826,0.836610,0.00011870,0.000000,0.0130,0.0857,0.000500,9.5
14,0.106173,0.094374,0.842770,0.00012056,0.000000,0.0140,0.0826,0.000500,9.6
15,0.105319,0.092626,0.846179,0.00012222,0.000000,0.0150,0.0810,0.000500,9.6
16,0.105392,0.091896,0.843497,0.00012392,0.000000,0.0160,0.0829,0.000500,9.6
17,0.105653,0.091469,0.834396,0.00012581,0.000000,0.0170,0.0884,0.000500,9.6
18,0.105078,0.090323,0.819726,0.00012789,0.000000,0.0180,0.0973,0.000500,9.7
19,0.104412,0.089196,0.800825,0.00013006,0.000000,0.0190,0.1089,0.000500,9.5
20,0.104327,0.088779,0.777423,0.00013211,0.000000,0.0200,0.1238,0.000500,9.6
21,0.104053,0.088293,0.750485,0.00013378,0.000000,0.0210,0.1413,0.000500,9.7
22,0.102714,0.086843,0.721419,0.00013518,0.000000,0.0220,0.1607,0.000500,9.6
23,0.102019,0.086135,0.690591,0.00013661,0.000000,0.0230,0.1824,0.000500,9.6
24,0.100920,0.085089,0.659643,0.00013826,0.000000,0.0240,0.2063,0.000500,9.6
25,0.099162,0.083396,0.630624,0.00014018,0.000000,0.0250,0.2324,0.000500,9.7
26,0.096948,0.081223,0.604814,0.00014235,0.000000,0.0260,0.2614,0.000500,9.7
27,0.095420,0.079695,0.582401,0.00014465,0.000000,0.0270,0.2956,0.000500,9.6
28,0.093128,0.077418,0.561072,0.00014699,0.000000,0.0280,0.3388,0.000500,9.6
29,0.092297,0.076372,0.549128,0.00014948,0.000000,0.0290,0.3808,0.000500,9.6
30,0.091484,0.074929,0.551820,0.00015213,0.000000,0.0300,0.3820,0.000500,9.7
31,0.090368,0.073112,0.556638,0.00015484,0.000000,0.0310,0.3619,0.000500,9.6
32,0.089977,0.072248,0.554037,0.00015746,0.000000,0.0320,0.3480,0.000500,9.7
33,0.088200,0.070687,0.530699,0.00015987,0.000000,0.0330,0.3622,0.000500,9.6
34,0.085511,0.068890,0.488852,0.00016210,0.000000,0.0340,0.4017,0.000500,9.5
35,0.083038,0.067277,0.450323,0.00016399,0.000000,0.0350,0.4452,0.000500,9.9
36,0.080183,0.064563,0.433902,0.00016551,0.000000,0.0360,0.4722,0.000500,9.9
37,0.077942,0.062102,0.428129,0.00016687,0.000000,0.0370,0.4997,0.000500,9.9
38,0.076715,0.060427,0.428641,0.00016829,0.000000,0.0380,0.5358,0.000500,9.9
39,0.076612,0.059020,0.451077,0.00016985,0.000000,0.0390,0.5400,0.000500,9.9
40,0.077976,0.058797,0.479453,0.00017144,0.000000,0.0400,0.5209,0.000500,10.0
41,0.079641,0.059118,0.500550,0.00017298,0.000000,0.0410,0.4956,0.000500,10.0
42,0.080217,0.058852,0.508694,0.00017449,0.000000,0.0420,0.4819,0.000500,9.9
43,0.079451,0.058030,0.498160,0.00017601,0.000000,0.0430,0.4933,0.000500,9.6
44,0.078362,0.057467,0.474888,0.00017754,0.000000,0.0440,0.5226,0.000500,9.9
45,0.077410,0.057081,0.451738,0.00017892,0.000000,0.0450,0.5471,0.000500,9.8
46,0.076573,0.056501,0.436346,0.00018006,0.000000,0.0460,0.5495,0.000500,9.9
47,0.076148,0.055916,0.430458,0.00018103,0.000000,0.0470,0.5331,0.000500,10.0
48,0.076532,0.055720,0.433583,0.00018196,0.000000,0.0480,0.5131,0.000500,9.9
49,0.076751,0.055331,0.437137,0.00018296,0.000000,0.0490,0.5069,0.000500,9.9
50,0.076543,0.054717,0.436535,0.00018402,0.000000,0.0500,0.5193,0.000500,9.9
51,0.076499,0.054232,0.436606,0.00018511,0.000000,0.0510,0.5394,0.000500,9.9
52,0.077183,0.053828,0.449140,0.00018614,0.000000,0.0520,0.5440,0.000500,9.9
53,0.078301,0.053448,0.468928,0.00018707,0.000000,0.0530,0.5302,0.000500,10.0
54,0.079433,0.053358,0.482871,0.00018793,0.000000,0.0540,0.5142,0.000500,9.8
55,0.079810,0.053165,0.484442,0.00018878,0.000000,0.0550,0.5105,0.000500,9.6
56,0.079286,0.052720,0.474390,0.00018962,0.000000,0.0560,0.5212,0.000500,9.7
57,0.078487,0.052427,0.457194,0.00019046,0.000000,0.0570,0.5382,0.000500,9.7
58,0.077706,0.052246,0.438969,0.00019131,0.000000,0.0580,0.5487,0.000500,9.7
59,0.077470,0.051981,0.432024,0.00019222,0.000000,0.0590,0.5438,0.000500,9.8
60,0.077606,0.051661,0.432418,0.00019326,0.000000,0.0600,0.5360,0.000500,10.0
61,0.077431,0.051230,0.429519,0.00019445,0.000000,0.0610,0.5401,0.000500,10.0
62,0.077225,0.050735,0.427255,0.00019574,0.000000,0.0620,0.5499,0.000500,9.9
63,0.077467,0.050412,0.429446,0.00019704,0.000000,0.0630,0.5547,0.000500,9.8
64,0.077209,0.049968,0.425649,0.00019832,0.000000,0.0640,0.5583,0.000500,10.0
65,0.077634,0.049542,0.432186,0.00019955,0.000000,0.0650,0.5519,0.000500,9.7
66,0.076479,0.049315,0.411575,0.00020079,0.000000,0.0660,0.5694,0.000500,9.6
67,0.077601,0.049357,0.421559,0.00020196,0.000000,0.0670,0.5596,0.000500,9.6
68,0.075993,0.050140,0.380191,0.00020325,0.000000,0.0680,0.5965,0.000500,9.6
69,0.078736,0.049683,0.421060,0.00020431,0.000000,0.0690,0.5523,0.000500,9.6
70,0.075577,0.047867,0.395855,0.00020550,0.000000,0.0700,0.5761,0.000500,9.6
71,0.075232,0.047717,0.387523,0.00020662,0.000000,0.0710,0.5906,0.000500,9.5
72,0.077945,0.048430,0.409937,0.00020758,0.000000,0.0720,0.5703,0.000500,9.6
73,0.074855,0.047191,0.378965,0.00020865,0.000000,0.0730,0.6006,0.000500,9.6
74,0.074753,0.046352,0.383799,0.00020954,0.000000,0.0740,0.5861,0.000500,9.6
75,0.076690,0.047107,0.394428,0.00021039,0.000000,0.0750,0.5716,0.000500,9.6
76,0.074149,0.046683,0.361396,0.00021140,0.000000,0.0760,0.6099,0.000500,9.6
77,0.074315,0.045661,0.372135,0.00021224,0.000000,0.0770,0.5957,0.000500,9.6
78,0.075158,0.045867,0.375526,0.00021317,0.000000,0.0780,0.5901,0.000500,9.5
79,0.074080,0.046324,0.351352,0.00021425,0.000000,0.0790,0.6170,0.000500,9.6
80,0.075344,0.045521,0.372779,0.00021517,0.000000,0.0800,0.5886,0.000500,9.5
81,0.074215,0.044827,0.362814,0.00021625,0.000000,0.0810,0.5990,0.000500,9.5
82,0.073927,0.045362,0.348348,0.00021735,0.000000,0.0820,0.6186,0.000500,9.6
83,0.075993,0.045657,0.365490,0.00021828,0.000000,0.0830,0.5952,0.000500,9.6
84,0.074028,0.045413,0.340650,0.00021942,0.000000,0.0840,0.6155,0.000500,9.6
85,0.074351,0.044434,0.351971,0.00022040,0.000000,0.0850,0.5983,0.000500,9.7
86,0.074236,0.044412,0.346792,0.00022149,0.000000,0.0860,0.6094,0.000500,9.5
87,0.073793,0.045126,0.329509,0.00022268,0.000000,0.0870,0.6294,0.000500,9.6
88,0.076298,0.045555,0.349349,0.00022365,0.000000,0.0880,0.5939,0.000500,9.7
89,0.074304,0.045494,0.323705,0.00022488,0.000000,0.0890,0.6182,0.000500,9.5
90,0.074358,0.044265,0.334374,0.00022585,0.000000,0.0900,0.6125,0.000500,9.5
91,0.073972,0.044188,0.327298,0.00022696,0.000000,0.0910,0.6265,0.000500,9.6
92,0.073712,0.044742,0.314896,0.00022814,0.000000,0.0920,0.6294,0.000500,9.7
93,0.076445,0.045540,0.332305,0.00022914,0.000000,0.0930,0.5980,0.000500,9.6
94,0.074266,0.045392,0.307178,0.00023042,0.000000,0.0940,0.6325,0.000500,9.4
95,0.074597,0.044376,0.318123,0.00023141,0.000000,0.0950,0.6268,0.000500,9.5
96,0.073654,0.043913,0.309804,0.00023261,0.000000,0.0960,0.6329,0.000500,9.4
97,0.073758,0.044194,0.304789,0.00023386,0.000000,0.0970,0.6271,0.000500,9.5
98,0.075252,0.044784,0.310896,0.00023505,0.000000,0.0980,0.6212,0.000500,9.5
99,0.074738,0.046094,0.289330,0.00023654,0.000000,0.0990,0.6551,0.000500,9.4
100,0.077637,0.046579,0.310582,0.00023765,0.000000,0.1000,0.6148,0.000500,9.4
101,0.075011,0.045950,0.290607,0.00023913,0.000000,0.1000,0.6336,0.000500,9.4
102,0.073696,0.044058,0.296382,0.00024026,0.000000,0.1000,0.6347,0.000500,9.4
103,0.074421,0.044810,0.296112,0.00024152,0.000000,0.1000,0.6441,0.000500,9.4
104,0.074687,0.046574,0.281124,0.00024308,0.000000,0.1000,0.6519,0.000500,9.4
105,0.076229,0.045991,0.302382,0.00024422,0.000000,0.1000,0.6053,0.000500,9.4
106,0.073063,0.044131,0.289313,0.00024564,0.000000,0.1000,0.6303,0.000500,9.4
107,0.073385,0.045456,0.279287,0.00024702,0.000000,0.1000,0.6727,0.000500,9.4
108,0.076308,0.046765,0.295427,0.00024828,0.000000,0.1000,0.6371,0.000500,9.4
109,0.074495,0.046012,0.284834,0.00024995,0.000000,0.1000,0.6319,0.000500,9.5
110,0.073071,0.043923,0.291477,0.00025116,0.000000,0.1000,0.6265,0.000500,9.4
111,0.075431,0.045951,0.294798,0.00025232,0.000000,0.1000,0.6469,0.000500,9.5
112,0.074404,0.046468,0.279361,0.00025390,0.000000,0.1000,0.6718,0.000500,9.5
113,0.073665,0.043864,0.298014,0.00025510,0.000000,0.1000,0.6168,0.000500,9.5
114,0.074423,0.044284,0.301386,0.00025642,0.000000,0.1000,0.6131,0.000500,9.5
115,0.074119,0.045615,0.285038,0.00025792,0.000000,0.1000,0.6595,0.000500,9.5
116,0.073809,0.043996,0.298129,0.00025907,0.000000,0.1000,0.6450,0.000500,9.5
117,0.073131,0.043225,0.299056,0.00026057,0.000000,0.1000,0.6273,0.000500,9.6
118,0.074012,0.044806,0.292064,0.00026216,0.000000,0.1000,0.6327,0.000500,9.5
119,0.074227,0.043926,0.303004,0.00026334,0.000000,0.1000,0.6295,0.000500,9.6
120,0.072603,0.043141,0.294620,0.00026488,0.000000,0.1000,0.6518,0.000500,9.6
121,0.072578,0.043051,0.295269,0.00026648,0.000000,0.1000,0.6381,0.000500,9.6
122,0.074218,0.043722,0.304964,0.00026797,0.000000,0.1000,0.6166,0.000500,9.5
123,0.072960,0.043943,0.290168,0.00026968,0.000000,0.1000,0.6429,0.000500,9.5
124,0.072988,0.043123,0.298650,0.00027110,0.000000,0.1000,0.6424,0.000500,9.6
125,0.072109,0.042782,0.293270,0.00027284,0.000000,0.1000,0.6418,0.000500,9.4
126,0.072105,0.042760,0.293459,0.00027456,0.000000,0.1000,0.6314,0.000500,9.5
127,0.072408,0.042934,0.294744,0.00027617,0.000000,0.1000,0.6381,0.000500,9.6
128,0.072277,0.044036,0.282404,0.00027804,0.000000,0.1000,0.6589,0.000500,9.6
129,0.075557,0.045617,0.299398,0.00027959,0.000000,0.1000,0.6276,0.000500,9.6
130,0.076195,0.048640,0.275553,0.00028171,0.000000,0.1000,0.6446,0.000500,9.5
131,0.073970,0.044248,0.297211,0.00028270,0.000000,0.1000,0.6234,0.000500,9.6
132,0.071484,0.042623,0.288610,0.00028412,0.000000,0.1000,0.6500,0.000500,9.5
133,0.072795,0.044936,0.278597,0.00028572,0.000000,0.1000,0.6618,0.000500,9.5
134,0.076085,0.046324,0.297607,0.00028685,0.000000,0.1000,0.6222,0.000500,9.5
135,0.072570,0.044403,0.281676,0.00028855,0.000000,0.1000,0.6327,0.000500,9.5
