epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.128713,0.128074,0.957517,0.00010017,0.000000,0.0007,0.0215,0.000500,9.9
2,0.108042,0.106922,0.839969,0.00010064,0.000000,0.0013,0.0837,0.000500,9.6
3,0.117450,0.116026,0.711849,0.00010191,0.000000,0.0020,0.1567,0.000500,9.6
4,0.109477,0.107454,0.758620,0.00010274,0.000000,0.0027,0.1293,0.000500,9.6
5,0.105073,0.102357,0.814888,0.00010370,0.000000,0.0033,0.0974,0.000500,9.6
6,0.105951,0.102539,0.853091,0.00010510,0.000000,0.0040,0.0765,0.000500,9.6
7,0.106459,0.102397,0.870542,0.00010690,0.000000,0.0047,0.0671,0.000500,9.6
8,0.105752,0.101093,0.873666,0.00010901,0.000000,0.0053,0.0654,0.000500,9.6
9,0.104003,0.098797,0.867783,0.00011138,0.000000,0.0060,0.0686,0.000500,9.6
10,0.102693,0.096976,0.857570,0.00011394,0.000000,0.0067,0.0741,0.000500,9.6
11,0.103369,0.097120,0.852149,0.00011657,0.000000,0.0073,0.0771,0.000500,9.6
12,0.103058,0.096199,0.857420,0.00011892,0.000000,0.0080,0.0743,0.000500,9.6
13,0.101336,0.093838,0.865145,0.00012084,0.000000,0.0087,0.0702,0.000500,9.6
14,0.100426,0.092322,0.868316,0.00012260,0.000000,0.0093,0.0686,0.000500,9.6
15,0.100663,0.092023,0.864019,0.00012445,0.000000,0.0100,0.0712,0.000500,9.6
16,0.100235,0.091140,0.852631,0.00012649,0.000000,0.0107,0.0777,0.000500,9.6
17,0.099299,0.089831,0.835374,0.00012866,0.000000,0.0113,0.0876,0.000500,9.6
18,0.099202,0.089448,0.812882,0.00013078,0.000000,0.0120,0.1007,0.000500,9.6
19,0.099235,0.089265,0.787120,0.00013256,0.000000,0.0127,0.1161,0.000500,9.6
20,0.098421,0.088282,0.760440,0.00013398,0.000000,0.0133,0.1322,0.000500,9.6
21,0.097914,0.087648,0.733310,0.00013536,0.000000,0.0140,0.1490,0.000500,9.6
22,0.097279,0.086906,0.707228,0.00013693,0.000000,0.0147,0.1660,0.000500,9.6
23,0.095960,0.085475,0.683801,0.00013873,0.000000,0.0153,0.1825,0.000500,9.5
24,0.094791,0.084178,0.663257,0.00014071,0.000000,0.0160,0.1985,0.000500,9.5
25,0.093699,0.083004,0.641680,0.00014273,0.000000,0.0167,0.2165,0.000500,9.5
26,0.091648,0.081019,0.613231,0.00014472,0.000000,0.0173,0.2406,0.000500,9.5
27,0.089627,0.079230,0.577644,0.00014680,0.000000,0.0180,0.2733,0.000500,9.5
28,0.086987,0.076860,0.542486,0.00014906,0.000000,0.0187,0.3144,0.000500,9.5
29,0.084001,0.073959,0.519422,0.00015145,0.000000,0.0193,0.3616,0.000500,9.5
30,0.083041,0.072713,0.516414,0.00015388,0.000000,0.0200,0.4073,0.000500,9.5
31,0.081723,0.071014,0.518206,0.00015618,0.000000,0.0207,0.4187,0.000500,9.5
32,0.079959,0.069254,0.501763,0.00015832,0.000000,0.0213,0.4185,0.000500,9.5
33,0.078435,0.067674,0.489131,0.00016028,0.000000,0.0220,0.4179,0.000500,9.5
34,0.075717,0.064717,0.485267,0.00016213,0.000000,0.0227,0.4306,0.000500,9.5
35,0.072853,0.061913,0.468856,0.00016388,0.000000,0.0233,0.4754,0.000500,9.5
36,0.070940,0.060254,0.445226,0.00016542,0.000000,0.0240,0.5426,0.000500,9.6
37,0.071418,0.059875,0.467965,0.00016667,0.000000,0.0247,0.5628,0.000500,9.6
38,0.072213,0.059318,0.509041,0.00016780,0.000000,0.0253,0.5251,0.000500,9.6
39,0.071986,0.058584,0.515480,0.00016901,0.000000,0.0260,0.5011,0.000500,9.5
40,0.071745,0.058317,0.503580,0.00017031,0.000000,0.0267,0.4984,0.000500,9.4
41,0.071132,0.057539,0.497311,0.00017164,0.000000,0.0273,0.5016,0.000500,9.4
42,0.070210,0.056613,0.485612,0.00017296,0.000000,0.0280,0.5107,0.000500,9.6
43,0.069104,0.056159,0.451561,0.00017425,0.000000,0.0287,0.5352,0.000500,9.6
44,0.068851,0.056177,0.432039,0.00017537,0.000000,0.0293,0.5426,0.000500,9.6
45,0.068716,0.055211,0.450159,0.00017631,0.000000,0.0300,0.5169,0.000500,9.6
46,0.069101,0.054925,0.462284,0.00017725,0.000000,0.0307,0.5049,0.000500,9.6
47,0.068970,0.054592,0.458864,0.00017823,0.000000,0.0313,0.5118,0.000500,9.6
48,0.068768,0.053913,0.464233,0.00017923,0.000000,0.0320,0.5121,0.000500,9.6
49,0.068997,0.053389,0.477818,0.00018028,0.000000,0.0327,0.5115,0.000500,9.6
50,0.069309,0.053160,0.484465,0.00018137,0.000000,0.0333,0.5224,0.000500,9.6
51,0.069175,0.052777,0.482302,0.00018245,0.000000,0.0340,0.5371,0.000500,9.6
52,0.069372,0.052463,0.487735,0.00018345,0.000000,0.0347,0.5326,0.000500,9.6
53,0.069825,0.052132,0.500739,0.00018436,0.000000,0.0353,0.5110,0.000500,9.6
54,0.069844,0.051876,0.499095,0.00018524,0.000000,0.0360,0.5045,0.000500,9.6
55,0.069133,0.051562,0.479219,0.00018618,0.000000,0.0367,0.5219,0.000500,9.6
56,0.068387,0.051029,0.464939,0.00018719,0.000000,0.0373,0.5391,0.000500,9.6
57,0.068418,0.050712,0.465962,0.00018828,0.000000,0.0380,0.5405,0.000500,9.6
58,0.067834,0.050134,0.457755,0.00018942,0.000000,0.0387,0.5420,0.000500,9.6
59,0.067795,0.049802,0.457445,0.00019061,0.000000,0.0393,0.5354,0.000500,9.6
60,0.068040,0.049391,0.466229,0.00019183,0.000000,0.0400,0.5269,0.000500,9.6
61,0.067470,0.048835,0.458240,0.00019308,0.000000,0.0407,0.5428,0.000500,9.6
62,0.066920,0.048332,0.449701,0.00019428,0.000000,0.0413,0.5575,0.000500,9.6
63,0.067090,0.048007,0.454366,0.00019537,0.000000,0.0420,0.5504,0.000500,9.6
64,0.066384,0.047702,0.437852,0.00019644,0.000000,0.0427,0.5662,0.000500,9.6
