epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.124902,0.124280,0.932761,0.00010005,0.000000,0.0007,0.0342,0.000500,9.7
2,0.105683,0.104629,0.790401,0.00010065,0.000000,0.0013,0.1111,0.000500,9.4
3,0.113588,0.112117,0.735827,0.00010209,0.000000,0.0020,0.1424,0.000500,9.4
4,0.104800,0.102672,0.797992,0.00010294,0.000000,0.0027,0.1069,0.000500,9.4
5,0.104229,0.101391,0.851302,0.00010412,0.000000,0.0033,0.0775,0.000500,9.4
6,0.105664,0.102165,0.874614,0.00010584,0.000000,0.0040,0.0649,0.000500,9.4
7,0.104236,0.100146,0.876436,0.00010794,0.000000,0.0047,0.0639,0.000500,9.4
8,0.101670,0.097050,0.866243,0.00011036,0.000000,0.0053,0.0695,0.000500,9.4
9,0.100602,0.095495,0.851118,0.00011301,0.000000,0.0060,0.0777,0.000500,9.4
10,0.102104,0.096476,0.844163,0.00011564,0.000000,0.0067,0.0817,0.000500,9.4
11,0.100217,0.094014,0.845893,0.00011761,0.000000,0.0073,0.0810,0.000500,9.4
12,0.098273,0.091528,0.843087,0.00011915,0.000000,0.0080,0.0830,0.000500,9.4
13,0.098572,0.091375,0.830496,0.00012074,0.000000,0.0087,0.0905,0.000500,9.4
14,0.098416,0.090849,0.810807,0.00012257,0.000000,0.0093,0.1021,0.000500,9.4
15,0.096975,0.089095,0.788062,0.00012464,0.000000,0.0100,0.1160,0.000500,9.4
16,0.096712,0.088577,0.762688,0.00012675,0.000000,0.0107,0.1321,0.000500,9.4
17,0.096681,0.088363,0.733984,0.00012851,0.000000,0.0113,0.1508,0.000500,9.4
18,0.095027,0.086614,0.701121,0.00012993,0.000000,0.0120,0.1726,0.000500,9.4
19,0.094281,0.085832,0.667000,0.00013138,0.000000,0.0127,0.1964,0.000500,9.4
20,0.093219,0.084723,0.637230,0.00013305,0.000000,0.0133,0.2197,0.000500,9.4
21,0.091293,0.082683,0.615011,0.00013497,0.000000,0.0140,0.2410,0.000500,9.4
22,0.089614,0.080833,0.598748,0.00013707,0.000000,0.0147,0.2621,0.000500,9.4
23,0.087799,0.078920,0.579049,0.00013918,0.000000,0.0153,0.2908,0.000500,9.4
24,0.084951,0.076174,0.548613,0.00014127,0.000000,0.0160,0.3361,0.000500,9.4
25,0.084068,0.075264,0.528194,0.00014353,0.000000,0.0167,0.3830,0.000500,9.4
26,0.082282,0.072879,0.542493,0.00014596,0.000000,0.0173,0.3817,0.000500,9.4
27,0.081473,0.071417,0.558641,0.00014845,0.000000,0.0180,0.3634,0.000500,9.4
28,0.080214,0.070002,0.547068,0.00015079,0.000000,0.0187,0.3751,0.000500,9.4
29,0.077522,0.067649,0.510666,0.00015299,0.000000,0.0193,0.4217,0.000500,9.4
30,0.075116,0.065601,0.475725,0.00015501,0.000000,0.0200,0.4752,0.000500,9.4
31,0.072476,0.062692,0.473398,0.00015672,0.000000,0.0207,0.4989,0.000500,9.4
32,0.071578,0.061073,0.492438,0.00015817,0.000000,0.0213,0.5103,0.000500,9.4
33,0.071307,0.060181,0.505704,0.00015946,0.000000,0.0220,0.5207,0.000500,9.4
34,0.071089,0.059595,0.507103,0.00016066,0.000000,0.0227,0.5149,0.000500,9.4
35,0.070764,0.058806,0.512512,0.00016178,0.000000,0.0233,0.4943,0.000500,9.4
36,0.070542,0.058244,0.512408,0.00016289,0.000000,0.0240,0.4854,0.000500,9.4
37,0.069097,0.057097,0.486461,0.00016403,0.000000,0.0247,0.5119,0.000500,9.4
38,0.068263,0.057019,0.443816,0.00016517,0.000000,0.0253,0.5544,0.000500,9.4
39,0.067694,0.056394,0.434605,0.00016613,0.000000,0.0260,0.5482,0.000500,9.4
40,0.068200,0.056213,0.449494,0.00016700,0.000000,0.0267,0.5154,0.000500,9.4
41,0.067700,0.055631,0.441546,0.00016795,0.000000,0.0273,0.5177,0.000500,9.4
42,0.067350,0.055394,0.426987,0.00016898,0.000000,0.0280,0.5349,0.000500,9.4
43,0.067203,0.054455,0.444711,0.00016998,0.000000,0.0287,0.5248,0.000500,9.4
44,0.067873,0.054059,0.470954,0.00017100,0.000000,0.0293,0.5142,0.000500,9.4
45,0.067883,0.053614,0.475633,0.00017203,0.000000,0.0300,0.5299,0.000500,9.4
46,0.068015,0.053341,0.478490,0.00017300,0.000000,0.0307,0.5395,0.000500,9.4
47,0.068479,0.052849,0.498811,0.00017385,0.000000,0.0313,0.5163,0.000500,9.4
48,0.069133,0.052800,0.510421,0.00017466,0.000000,0.0320,0.4998,0.000500,9.4
49,0.068559,0.052340,0.496480,0.00017548,0.000000,0.0327,0.5147,0.000500,9.4
50,0.067883,0.051930,0.478570,0.00017630,0.000000,0.0333,0.5341,0.000500,9.4
51,0.067911,0.051612,0.479384,0.00017710,0.000000,0.0340,0.5274,0.000500,9.4
52,0.067824,0.051310,0.476364,0.00017796,0.000000,0.0347,0.5244,0.000500,9.4
53,0.067057,0.050862,0.458346,0.00017890,0.000000,0.0353,0.5404,0.000500,9.4
54,0.066908,0.050296,0.461432,0.00017992,0.000000,0.0360,0.5360,0.000500,9.4
55,0.067220,0.049840,0.473997,0.00018104,0.000000,0.0367,0.5246,0.000500,9.4
56,0.066674,0.049302,0.465328,0.00018224,0.000000,0.0373,0.5417,0.000500,9.4
57,0.066526,0.048989,0.461489,0.00018347,0.000000,0.0380,0.5527,0.000500,9.4
58,0.066882,0.048552,0.474060,0.00018466,0.000000,0.0387,0.5375,0.000500,9.4
59,0.066192,0.048237,0.456487,0.00018586,0.000000,0.0393,0.5556,0.000500,9.4
60,0.066112,0.047777,0.458377,0.00018700,0.000000,0.0400,0.5476,0.000500,9.4
61,0.065901,0.047451,0.453703,0.00018811,0.000000,0.0407,0.5521,0.000500,9.4
62,0.065401,0.047194,0.440483,0.00018915,0.000000,0.0413,0.5688,0.000500,9.4
63,0.066385,0.047318,0.453973,0.00019005,0.000000,0.0420,0.5423,0.000500,9.4
64,0.065696,0.048250,0.408898,0.00019096,0.000000,0.0427,0.5990,0.000500,9.4
65,0.069399,0.049048,0.469619,0.00019161,0.000000,0.0433,0.5135,0.000500,9.4
66,0.065102,0.046129,0.431197,0.00019237,0.000000,0.0440,0.5591,0.000500,9.4
67,0.065618,0.047661,0.402016,0.00019317,0.000000,0.0447,0.6034,0.000500,9.4
68,0.068196,0.047618,0.453941,0.00019381,0.000000,0.0453,0.5353,0.000500,9.4
69,0.065223,0.045382,0.431324,0.00019453,0.000000,0.0460,0.5559,0.000500,9.4
70,0.065641,0.047462,0.389557,0.00019533,0.000000,0.0467,0.6056,0.000500,9.4
71,0.065352,0.044997,0.430035,0.00019598,0.000000,0.0473,0.5500,0.000500,9.4
72,0.066976,0.045850,0.440127,0.00019672,0.000000,0.0480,0.5408,0.000500,9.4
73,0.064404,0.044955,0.399632,0.00019750,0.000000,0.0487,0.5961,0.000500,9.4
74,0.064264,0.044414,0.402371,0.00019818,0.000000,0.0493,0.5911,0.000500,9.4
75,0.066696,0.044950,0.434926,0.00019881,0.000000,0.0500,0.5468,0.000500,9.4
76,0.065129,0.043722,0.422500,0.00019950,0.000000,0.0507,0.5641,0.000500,9.4
77,0.064805,0.044551,0.394560,0.00020024,0.000000,0.0513,0.6077,0.000500,9.4
78,0.065067,0.043259,0.419374,0.00020086,0.000000,0.0520,0.5717,0.000500,9.4
79,0.066425,0.043868,0.428309,0.00020145,0.000000,0.0527,0.5553,0.000500,9.4
80,0.064396,0.043178,0.397845,0.00020206,0.000000,0.0533,0.5912,0.000500,9.4
81,0.064221,0.043004,0.392903,0.00020259,0.000000,0.0540,0.5928,0.000500,9.4
82,0.065840,0.043345,0.411492,0.00020308,0.000000,0.0547,0.5645,0.000500,9.4
83,0.064149,0.042465,0.391888,0.00020364,0.000000,0.0553,0.5889,0.000500,9.4
84,0.064035,0.043030,0.375089,0.00020421,0.000000,0.0560,0.6093,0.000500,9.4
85,0.065455,0.042803,0.399751,0.00020473,0.000000,0.0567,0.5691,0.000500,9.4
86,0.064556,0.042215,0.389658,0.00020533,0.000000,0.0573,0.5806,0.000500,9.3
87,0.064227,0.042765,0.370038,0.00020599,0.000000,0.0580,0.6125,0.000500,9.4
88,0.065414,0.042408,0.392148,0.00020659,0.000000,0.0587,0.5813,0.000500,9.4
89,0.064480,0.041835,0.381661,0.00020725,0.000000,0.0593,0.5917,0.000500,9.3
90,0.064346,0.042357,0.366481,0.00020791,0.000000,0.0600,0.6084,0.000500,9.3
91,0.065615,0.042266,0.384879,0.00020849,0.000000,0.0607,0.5781,0.000500,9.4
92,0.064212,0.041713,0.366832,0.00020912,0.000000,0.0613,0.6018,0.000500,9.4
93,0.064094,0.041878,0.358326,0.00020972,0.000000,0.0620,0.6119,0.000500,9.4
94,0.065822,0.042349,0.374572,0.00021027,0.000000,0.0627,0.5826,0.000500,9.4
95,0.064350,0.042203,0.349684,0.00021091,0.000000,0.0633,0.6121,0.000500,9.4
96,0.064676,0.041570,0.361024,0.00021146,0.000000,0.0640,0.5967,0.000500,9.4
97,0.064565,0.041522,0.356326,0.00021207,0.000000,0.0647,0.6047,0.000500,9.4
98,0.064210,0.041989,0.340118,0.00021273,0.000000,0.0653,0.6221,0.000500,9.3
99,0.066260,0.042455,0.360673,0.00021331,0.000000,0.0660,0.5852,0.000500,9.4
100,0.064509,0.042199,0.334648,0.00021403,0.000000,0.0667,0.6197,0.000500,9.4
101,0.065037,0.041620,0.347774,0.00021461,0.000000,0.0673,0.6061,0.000500,9.3
102,0.064283,0.041332,0.337512,0.00021526,0.000000,0.0680,0.6189,0.000500,9.3
