epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.130078,0.129124,0.954844,0.00009991,0.000000,0.0010,0.0229,0.000500,10.0
2,0.107583,0.105903,0.839822,0.00010024,0.000000,0.0020,0.0837,0.000500,9.5
3,0.120457,0.118341,0.705300,0.00010136,0.000000,0.0030,0.1605,0.000500,9.5
4,0.111458,0.108453,0.751397,0.00010197,0.000000,0.0040,0.1334,0.000500,9.5
5,0.106309,0.102268,0.808185,0.00010269,0.000000,0.0050,0.1012,0.000500,9.5
6,0.107568,0.102476,0.848636,0.00010382,0.000000,0.0060,0.0789,0.000500,9.5
7,0.109562,0.103486,0.868039,0.00010534,0.000000,0.0070,0.0684,0.000500,9.5
8,0.109379,0.102401,0.872298,0.00010715,0.000000,0.0080,0.0662,0.000500,9.5
9,0.107980,0.100177,0.866937,0.00010922,0.000000,0.0090,0.0690,0.000500,9.5
10,0.106314,0.097760,0.855405,0.00011151,0.000000,0.0100,0.0753,0.000500,9.6
11,0.105967,0.096709,0.841631,0.00011396,0.000000,0.0110,0.0828,0.000500,9.6
12,0.107535,0.097527,0.833977,0.00011645,0.000000,0.0120,0.0871,0.000500,9.5
13,0.107712,0.096840,0.836303,0.00011869,0.000000,0.0130,0.0859,0.000500,9.5
14,0.106193,0.094401,0.842307,0.00012055,0.000000,0.0140,0.0828,0.000500,9.5
15,0.105245,0.092563,0.845490,0.00012220,0.000000,0.0150,0.0814,0.000500,9.5
16,0.105299,0.091819,0.842509,0.00012391,0.000000,0.0160,0.0834,0.000500,9.5
17,0.105529,0.091368,0.832981,0.00012580,0.000000,0.0170,0.0892,0.000500,9.6
18,0.104930,0.090204,0.818131,0.00012788,0.000000,0.0180,0.0982,0.000500,9.5
19,0.104267,0.089091,0.798743,0.00013005,0.000000,0.0190,0.1102,0.000500,9.5
20,0.104286,0.088784,0.775133,0.00013210,0.000000,0.0200,0.1252,0.000500,9.5
21,0.103870,0.088158,0.748195,0.00013377,0.000000,0.0210,0.1428,0.000500,9.6
22,0.102583,0.086764,0.719057,0.00013517,0.000000,0.0220,0.1623,0.000500,9.5
23,0.101726,0.085904,0.687905,0.00013661,0.000000,0.0230,0.1843,0.000500,9.6
24,0.100749,0.084987,0.656751,0.00013827,0.000000,0.0240,0.2086,0.000500,9.5
25,0.098875,0.083181,0.627783,0.00014020,0.000000,0.0250,0.2349,0.000500,9.6
26,0.096800,0.081140,0.602293,0.00014238,0.000000,0.0260,0.2642,0.000500,9.5
27,0.095221,0.079549,0.580465,0.00014469,0.000000,0.0270,0.2986,0.000500,9.5
28,0.093077,0.077402,0.559814,0.00014704,0.000000,0.0280,0.3423,0.000500,9.5
29,0.092201,0.076270,0.549337,0.00014953,0.000000,0.0290,0.3821,0.000500,9.5
30,0.091285,0.074736,0.551639,0.00015219,0.000000,0.0300,0.3821,0.000500,9.5
31,0.090304,0.073063,0.556177,0.00015491,0.000000,0.0310,0.3614,0.000500,9.5
32,0.089823,0.072144,0.552450,0.00015751,0.000000,0.0320,0.3490,0.000500,9.5
33,0.087916,0.070488,0.528129,0.00015991,0.000000,0.0330,0.3652,0.000500,9.5
34,0.085256,0.068743,0.485682,0.00016212,0.000000,0.0340,0.4058,0.000500,9.6
35,0.082803,0.067137,0.447609,0.00016397,0.000000,0.0350,0.4488,0.000500,9.5
36,0.079844,0.064275,0.432466,0.00016546,0.000000,0.0360,0.4746,0.000500,9.5
37,0.077914,0.062055,0.428620,0.00016682,0.000000,0.0370,0.5019,0.000500,9.5
38,0.076707,0.060289,0.432041,0.00016826,0.000000,0.0380,0.5368,0.000500,9.5
39,0.076679,0.058995,0.453444,0.00016983,0.000000,0.0390,0.5414,0.000500,9.5
40,0.078070,0.058868,0.480041,0.00017141,0.000000,0.0400,0.5217,0.000500,9.5
41,0.079675,0.059116,0.501436,0.00017294,0.000000,0.0410,0.4940,0.000500,9.5
42,0.080145,0.058782,0.508636,0.00017444,0.000000,0.0420,0.4807,0.000500,9.5
43,0.079320,0.058000,0.495808,0.00017596,0.000000,0.0430,0.4946,0.000500,9.5
44,0.077983,0.057278,0.470565,0.00017746,0.000000,0.0440,0.5266,0.000500,9.5
45,0.077166,0.056978,0.448633,0.00017881,0.000000,0.0450,0.5496,0.000500,9.5
46,0.076433,0.056399,0.435521,0.00017993,0.000000,0.0460,0.5485,0.000500,9.5
47,0.076129,0.055871,0.431025,0.00018088,0.000000,0.0470,0.5300,0.000500,9.5
48,0.076383,0.055578,0.433439,0.00018182,0.000000,0.0480,0.5124,0.000500,9.5
49,0.076686,0.055270,0.437065,0.00018281,0.000000,0.0490,0.5085,0.000500,9.5
50,0.076510,0.054629,0.437613,0.00018389,0.000000,0.0500,0.5216,0.000500,9.5
51,0.076544,0.054141,0.439284,0.00018497,0.000000,0.0510,0.5404,0.000500,9.5
52,0.077263,0.053821,0.450820,0.00018600,0.000000,0.0520,0.5440,0.000500,9.5
53,0.078375,0.053410,0.471026,0.00018692,0.000000,0.0530,0.5278,0.000500,9.5
54,0.079482,0.053295,0.484951,0.00018778,0.000000,0.0540,0.5117,0.000500,9.5
55,0.079600,0.053025,0.483196,0.00018862,0.000000,0.0550,0.5117,0.000500,9.5
56,0.079031,0.052684,0.470481,0.00018946,0.000000,0.0560,0.5254,0.000500,9.5
57,0.078362,0.052486,0.453969,0.00019030,0.000000,0.0570,0.5412,0.000500,9.5
58,0.077591,0.052137,0.438856,0.00019114,0.000000,0.0580,0.5471,0.000500,9.5
59,0.077373,0.051927,0.431298,0.00019204,0.000000,0.0590,0.5422,0.000500,9.5
60,0.077543,0.051630,0.431887,0.00019308,0.000000,0.0600,0.5355,0.000500,9.5
61,0.077400,0.051275,0.428280,0.00019426,0.000000,0.0610,0.5421,0.000500,9.5
62,0.077207,0.050843,0.425224,0.00019553,0.000000,0.0620,0.5536,0.000500,9.5
63,0.077367,0.050398,0.428070,0.00019681,0.000000,0.0630,0.5569,0.000500,9.5
64,0.077339,0.049863,0.429315,0.00019806,0.000000,0.0640,0.5553,0.000500,9.5
65,0.077289,0.049447,0.428346,0.00019929,0.000000,0.0650,0.5552,0.000500,9.5
66,0.076626,0.049118,0.416786,0.00020053,0.000000,0.0660,0.5665,0.000500,9.5
67,0.075956,0.048644,0.407644,0.00020176,0.000000,0.0670,0.5735,0.000500,9.5
68,0.075213,0.048363,0.394844,0.00020304,0.000000,0.0680,0.5816,0.000500,9.5
69,0.076917,0.048637,0.409856,0.00020430,0.000000,0.0690,0.5653,0.000500,9.5
70,0.077891,0.052717,0.359622,0.00020566,0.000000,0.0700,0.6133,0.000500,9.5
71,0.080941,0.050910,0.422973,0.00020648,0.000000,0.0710,0.5406,0.000500,9.5
72,0.076325,0.047213,0.404333,0.00020745,0.000000,0.0720,0.5608,0.000500,9.6
73,0.076988,0.050465,0.363341,0.00020849,0.000000,0.0730,0.6202,0.000500,9.5
74,0.075563,0.046514,0.392555,0.00020917,0.000000,0.0740,0.5893,0.000500,9.7
75,0.079352,0.048954,0.405308,0.00020991,0.000000,0.0750,0.5666,0.000500,9.5
76,0.074913,0.046764,0.370376,0.00021076,0.000000,0.0760,0.5920,0.000500,9.5
77,0.075217,0.047446,0.360666,0.00021160,0.000000,0.0770,0.5999,0.000500,9.5
78,0.076449,0.046259,0.387059,0.00021236,0.000000,0.0780,0.5758,0.000500,9.5
79,0.076439,0.046145,0.383464,0.00021323,0.000000,0.0790,0.5871,0.000500,9.5
80,0.074725,0.046310,0.355193,0.00021416,0.000000,0.0800,0.6209,0.000500,9.5
81,0.074707,0.045172,0.364639,0.00021495,0.000000,0.0810,0.5997,0.000500,9.5
82,0.077648,0.045932,0.386777,0.00021572,0.000000,0.0820,0.5695,0.000500,9.5
83,0.075661,0.044567,0.374632,0.00021662,0.000000,0.0830,0.5887,0.000500,9.5
84,0.075302,0.045644,0.353073,0.00021756,0.000000,0.0840,0.6249,0.000500,9.5
85,0.075401,0.044228,0.366749,0.00021834,0.000000,0.0850,0.6032,0.000500,9.5
86,0.077272,0.045054,0.374621,0.00021914,0.000000,0.0860,0.5815,0.000500,9.5
87,0.075100,0.044426,0.352571,0.00022007,0.000000,0.0870,0.6006,0.000500,9.5
88,0.074864,0.044609,0.343807,0.00022096,0.000000,0.0880,0.6142,0.000500,9.5
89,0.076510,0.044728,0.357100,0.00022180,0.000000,0.0890,0.6003,0.000500,9.5
90,0.074825,0.043900,0.343613,0.00022278,0.000000,0.0900,0.6129,0.000500,9.5
91,0.074791,0.044677,0.330922,0.00022378,0.000000,0.0910,0.6196,0.000500,9.5
92,0.075780,0.044127,0.344060,0.00022467,0.000000,0.0920,0.5958,0.000500,9.5
93,0.075205,0.043876,0.336873,0.00022568,0.000000,0.0930,0.6115,0.000500,9.5
94,0.074646,0.044524,0.320447,0.00022677,0.000000,0.0940,0.6386,0.000500,9.5
95,0.075621,0.044026,0.332576,0.00022774,0.000000,0.0950,0.6088,0.000500,9.5
96,0.074966,0.043803,0.324616,0.00022884,0.000000,0.0960,0.6114,0.000500,9.5
97,0.074567,0.044241,0.312640,0.00022997,0.000000,0.0970,0.6335,0.000500,9.5
98,0.075813,0.044504,0.319482,0.00023101,0.000000,0.0980,0.6218,0.000500,9.5
99,0.074450,0.044449,0.303035,0.00023227,0.000000,0.0990,0.6326,0.000500,9.5
100,0.074704,0.043921,0.307822,0.00023340,0.000000,0.1000,0.6195,0.000500,9.5
101,0.074093,0.043885,0.302079,0.00023466,0.000000,0.1000,0.6344,0.000500,9.5
102,0.073702,0.044424,0.292779,0.00023603,0.000000,0.1000,0.6455,0.000500,9.5
103,0.075637,0.045231,0.304056,0.00023727,0.000000,0.1000,0.6161,0.000500,9.5
104,0.074964,0.046404,0.285607,0.00023882,0.000000,0.1000,0.6433,0.000500,9.5
105,0.075507,0.045589,0.299176,0.00023992,0.000000,0.1000,0.6292,0.000500,9.5
106,0.073401,0.044774,0.286263,0.00024139,0.000000,0.1000,0.6511,0.000500,9.5
107,0.073270,0.044076,0.291942,0.00024269,0.000000,0.1000,0.6300,0.000500,9.5
108,0.073233,0.044138,0.290952,0.00024409,0.000000,0.1000,0.6348,0.000500,9.4
109,0.073292,0.045257,0.280350,0.00024568,0.000000,0.1000,0.6599,0.000500,9.5
110,0.075433,0.046094,0.293384,0.00024704,0.000000,0.1000,0.6257,0.000500,9.4
111,0.074449,0.046532,0.279174,0.00024881,0.000000,0.1000,0.6421,0.000500,9.5
112,0.073241,0.044411,0.288295,0.00025004,0.000000,0.1000,0.6337,0.000500,9.4
113,0.072335,0.044028,0.283069,0.00025155,0.000000,0.1000,0.6560,0.000500,9.5
114,0.072719,0.044727,0.279915,0.00025324,0.000000,0.1000,0.6493,0.000500,9.4
115,0.074883,0.045551,0.293317,0.00025467,0.000000,0.1000,0.6165,0.000500,9.5
116,0.073451,0.045528,0.279225,0.00025645,0.000000,0.1000,0.6479,0.000500,9.4
117,0.073022,0.044186,0.288353,0.00025778,0.000000,0.1000,0.6465,0.000500,9.5
118,0.072140,0.043493,0.286461,0.00025944,0.000000,0.1000,0.6479,0.000500,9.4
119,0.072566,0.043786,0.287798,0.00026114,0.000000,0.1000,0.6350,0.000500,9.4
120,0.073296,0.043916,0.293793,0.00026266,0.000000,0.1000,0.6334,0.000500,9.4
121,0.073173,0.045063,0.281102,0.00026449,0.000000,0.1000,0.6654,0.000500,9.5
122,0.075798,0.045787,0.300111,0.00026599,0.000000,0.1000,0.6233,0.000500,9.4
123,0.074493,0.046320,0.281726,0.00026795,0.000000,0.1000,0.6415,0.000500,9.5
124,0.073253,0.043663,0.295899,0.00026917,0.000000,0.1000,0.6296,0.000500,9.4
125,0.072242,0.043237,0.290049,0.00027068,0.000000,0.1000,0.6551,0.000500,9.4
126,0.072481,0.044041,0.284395,0.00027243,0.000000,0.1000,0.6514,0.000500,9.4
127,0.075274,0.045359,0.299150,0.00027389,0.000000,0.1000,0.6141,0.000500,9.4
128,0.073437,0.045144,0.282925,0.00027573,0.000000,0.1000,0.6401,0.000500,9.5
129,0.072225,0.043349,0.288756,0.00027690,0.000000,0.1000,0.6501,0.000500,9.4
130,0.071764,0.043167,0.285964,0.00027845,0.000000,0.1000,0.6535,0.000500,9.4
131,0.072359,0.044183,0.281764,0.00028030,0.000000,0.1000,0.6407,0.000500,9.5
132,0.073804,0.044673,0.291317,0.00028167,0.000000,0.1000,0.6257,0.000500,9.4
133,0.072548,0.044837,0.277107,0.00028350,0.000000,0.1000,0.6613,0.000500,9.4
