epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.129568,0.129090,0.954853,0.00009991,0.000000,0.0005,0.0229,0.000500,9.7
2,0.106647,0.105807,0.839796,0.00010024,0.000000,0.0010,0.0837,0.000500,9.4
3,0.119337,0.118279,0.705649,0.00010136,0.000000,0.0015,0.1603,0.000500,9.4
4,0.109772,0.108268,0.752098,0.00010197,0.000000,0.0020,0.1330,0.000500,9.4
5,0.103967,0.101944,0.809172,0.00010269,0.000000,0.0025,0.1006,0.000500,9.4
6,0.105000,0.102451,0.849623,0.00010382,0.000000,0.0030,0.0784,0.000500,9.4
7,0.106337,0.103294,0.869193,0.00010533,0.000000,0.0035,0.0678,0.000500,9.4
8,0.105944,0.102449,0.873678,0.00010715,0.000000,0.0040,0.0654,0.000500,9.4
9,0.104031,0.100122,0.868631,0.00010921,0.000000,0.0045,0.0681,0.000500,9.4
10,0.101825,0.097537,0.857633,0.00011149,0.000000,0.0050,0.0741,0.000500,9.4
11,0.101392,0.096748,0.844359,0.00011393,0.000000,0.0055,0.0813,0.000500,9.4
12,0.102232,0.097209,0.837121,0.00011643,0.000000,0.0060,0.0853,0.000500,9.4
13,0.101863,0.096404,0.839786,0.00011869,0.000000,0.0065,0.0840,0.000500,9.4
14,0.100060,0.094138,0.846081,0.00012057,0.000000,0.0070,0.0808,0.000500,9.4
15,0.098673,0.092303,0.849340,0.00012224,0.000000,0.0075,0.0793,0.000500,9.4
16,0.098522,0.091750,0.846489,0.00012394,0.000000,0.0080,0.0812,0.000500,9.4
17,0.098161,0.091043,0.837393,0.00012583,0.000000,0.0085,0.0867,0.000500,9.4
18,0.097481,0.090071,0.823398,0.00012791,0.000000,0.0090,0.0951,0.000500,9.4
19,0.096507,0.088853,0.805643,0.00013008,0.000000,0.0095,0.1059,0.000500,9.5
20,0.096517,0.088674,0.784252,0.00013213,0.000000,0.0100,0.1193,0.000500,9.4
21,0.095965,0.087993,0.759194,0.00013378,0.000000,0.0105,0.1353,0.000500,9.4
22,0.094689,0.086641,0.731639,0.00013518,0.000000,0.0110,0.1532,0.000500,9.4
