epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.148829,0.146903,2.888914,0.00009920,0.000000,0.0007,2.3703,0.000500,10.0
2,0.225918,0.221869,3.036235,0.00009947,0.000000,0.0013,2.4091,0.000500,9.6
3,0.176710,0.172622,2.044044,0.00009945,0.000000,0.0020,2.1107,0.000500,9.6
4,0.105306,0.101752,1.332949,0.00009948,0.000000,0.0027,1.8436,0.000500,9.6
5,0.117535,0.114365,0.951039,0.00009967,0.000000,0.0033,1.6648,0.000500,9.6
6,0.128319,0.125332,0.746890,0.00009987,0.000000,0.0040,1.5512,0.000500,9.6
7,0.121908,0.119051,0.612182,0.00010008,0.000000,0.0047,1.4649,0.000500,9.6
8,0.108363,0.105554,0.526649,0.00010034,0.000000,0.0053,1.4036,0.000500,9.6
9,0.096861,0.093970,0.481755,0.00010066,0.000000,0.0060,1.3694,0.000500,9.6
10,0.101958,0.098915,0.456381,0.00010104,0.000000,0.0067,1.3502,0.000500,9.6
11,0.108027,0.105031,0.408589,0.00010137,0.000000,0.0073,1.3088,0.000500,9.6
12,0.103460,0.100659,0.350081,0.00010164,0.000000,0.0080,1.2514,0.000500,9.6
13,0.096227,0.093633,0.299264,0.00010189,0.000000,0.0087,1.1935,0.000500,9.6
14,0.095096,0.092639,0.263213,0.00010217,0.000000,0.0093,1.1456,0.000500,9.6
15,0.098214,0.095823,0.239097,0.00010247,0.000000,0.0100,1.1085,0.000500,9.6
16,0.100120,0.097750,0.222206,0.00010278,0.000000,0.0107,1.0796,0.000500,9.6
17,0.099970,0.097597,0.209444,0.00010309,0.000000,0.0113,1.0551,0.000500,9.6
18,0.097672,0.095271,0.200136,0.00010340,0.000000,0.0120,1.0353,0.000500,9.6
19,0.095188,0.092744,0.192967,0.00010372,0.000000,0.0127,1.0196,0.000500,9.6
20,0.094002,0.091496,0.187886,0.00010407,0.000000,0.0133,1.0078,0.000500,9.6
21,0.095046,0.092470,0.183984,0.00010445,0.000000,0.0140,0.9979,0.000500,9.6
22,0.096366,0.093732,0.179620,0.00010486,0.000000,0.0147,0.9863,0.000500,9.6
23,0.096512,0.093819,0.175626,0.00010529,0.000000,0.0153,0.9721,0.000500,9.6
24,0.094889,0.092147,0.171400,0.00010574,0.000000,0.0160,0.9559,0.000500,9.6
25,0.093790,0.090989,0.168031,0.00010624,0.000000,0.0167,0.9404,0.000500,9.6
26,0.093826,0.090952,0.165790,0.00010677,0.000000,0.0173,0.9272,0.000500,9.5
27,0.094470,0.091507,0.164588,0.00010735,0.000000,0.0180,0.9169,0.000500,9.6
28,0.094908,0.091841,0.164309,0.00010796,0.000000,0.0187,0.9099,0.000500,9.6
29,0.094895,0.091733,0.163569,0.00010859,0.000000,0.0193,0.9043,0.000500,9.6
30,0.094278,0.091008,0.163501,0.00010926,0.000000,0.0200,0.9008,0.000500,9.6
31,0.093550,0.090171,0.163482,0.00010997,0.000000,0.0207,0.8985,0.000500,9.6
32,0.093199,0.089706,0.163722,0.00011075,0.000000,0.0213,0.8982,0.000500,9.5
33,0.093307,0.089695,0.164162,0.00011161,0.000000,0.0220,0.8993,0.000500,9.6
34,0.093682,0.089940,0.165076,0.00011257,0.000000,0.0227,0.9011,0.000500,9.6
35,0.093687,0.089808,0.166264,0.00011363,0.000000,0.0233,0.9051,0.000500,9.6
36,0.093265,0.089225,0.168309,0.00011480,0.000000,0.0240,0.9108,0.000500,9.6
37,0.092710,0.088501,0.170647,0.00011611,0.000000,0.0247,0.9187,0.000500,9.6
38,0.092745,0.088335,0.174086,0.00011757,0.000000,0.0253,0.9300,0.000500,9.5
39,0.093059,0.088447,0.177372,0.00011918,0.000000,0.0260,0.9405,0.000500,9.5
40,0.092910,0.088116,0.179792,0.00012094,0.000000,0.0267,0.9461,0.000500,9.6
41,0.092429,0.087474,0.181289,0.00012283,0.000000,0.0273,0.9464,0.000500,9.6
42,0.091796,0.086701,0.181975,0.00012490,0.000000,0.0280,0.9433,0.000500,9.6
43,0.091540,0.086288,0.183182,0.00012721,0.000000,0.0287,0.9407,0.000500,9.6
44,0.091541,0.086117,0.184888,0.00012978,0.000000,0.0293,0.9422,0.000500,9.5
45,0.091264,0.085591,0.189089,0.00013264,0.000000,0.0300,0.9503,0.000500,9.5
46,0.090690,0.084677,0.196070,0.00013579,0.000000,0.0307,0.9665,0.000500,9.6
47,0.090254,0.083794,0.206181,0.00013928,0.000000,0.0313,0.9905,0.000500,9.6
48,0.090121,0.083170,0.217190,0.00014310,0.000000,0.0320,1.0129,0.000500,9.6
49,0.089541,0.082313,0.221266,0.00014716,0.000000,0.0327,1.0184,0.000500,9.5
50,0.088493,0.081153,0.220200,0.00015142,0.000000,0.0333,1.0107,0.000500,9.6
51,0.087845,0.080342,0.220674,0.00015599,0.000000,0.0340,1.0040,0.000500,9.5
52,0.087239,0.079327,0.228214,0.00016090,0.000000,0.0347,1.0111,0.000500,9.5
53,0.086587,0.077914,0.245457,0.00016612,0.000000,0.0353,1.0361,0.000500,9.6
54,0.086217,0.076582,0.267651,0.00017161,0.000000,0.0360,1.0675,0.000500,9.6
55,0.085266,0.075224,0.273884,0.00017715,0.000000,0.0367,1.0696,0.000500,9.5
56,0.083745,0.074074,0.259052,0.00018270,0.000000,0.0373,1.0415,0.000500,9.6
57,0.082752,0.073185,0.251757,0.00018849,0.000000,0.0380,1.0246,0.000500,9.6
58,0.081620,0.071648,0.257884,0.00019457,0.000000,0.0387,1.0309,0.000500,9.5
59,0.080838,0.070137,0.272048,0.00020089,0.000000,0.0393,1.0486,0.000500,9.6
60,0.079397,0.068888,0.262712,0.00020703,0.000000,0.0400,1.0328,0.000500,9.6
61,0.078315,0.068390,0.244050,0.00021320,0.000000,0.0407,1.0031,0.000500,9.5
62,0.077346,0.067164,0.246343,0.00021985,0.000000,0.0413,1.0064,0.000500,9.6
63,0.077035,0.066315,0.255241,0.00022684,0.000000,0.0420,1.0240,0.000500,9.6
64,0.076144,0.066178,0.233589,0.00023320,0.000000,0.0427,0.9983,0.000500,9.5
65,0.075730,0.065855,0.227881,0.00023981,0.000000,0.0433,0.9947,0.000500,9.6
66,0.075230,0.065968,0.210502,0.00024602,0.000000,0.0440,0.9781,0.000500,9.6
67,0.074747,0.065744,0.201562,0.00025184,0.000000,0.0447,0.9669,0.000500,9.5
68,0.074783,0.066444,0.183931,0.00025652,0.000000,0.0453,0.9346,0.000500,9.6
69,0.080141,0.069627,0.228558,0.00026192,0.000000,0.0460,1.0034,0.000500,9.6
70,0.081628,0.073467,0.174873,0.00026286,0.000000,0.0467,0.8963,0.000500,9.6
71,0.078196,0.069992,0.173306,0.00026492,0.000000,0.0473,0.8797,0.000500,9.6
72,0.077369,0.068593,0.182829,0.00026791,0.000000,0.0480,0.9092,0.000500,9.6
73,0.078726,0.068213,0.216013,0.00027121,0.000000,0.0487,0.9645,0.000500,9.5
74,0.073835,0.063860,0.202196,0.00027351,0.000000,0.0493,0.9556,0.000500,9.6
75,0.077422,0.067793,0.192576,0.00027580,0.000000,0.0500,0.9490,0.000500,9.6
76,0.075852,0.065747,0.199441,0.00027877,0.000000,0.0507,0.9644,0.000500,9.6
77,0.075408,0.064258,0.217208,0.00028209,0.000000,0.0513,0.9904,0.000500,9.6
78,0.074945,0.064443,0.201961,0.00028430,0.000000,0.0520,0.9638,0.000500,9.6
79,0.073914,0.064731,0.174362,0.00028577,0.000000,0.0527,0.9196,0.000500,9.5
80,0.074932,0.066087,0.165850,0.00028776,0.000000,0.0533,0.9056,0.000500,9.6
81,0.074484,0.065536,0.165710,0.00029057,0.000000,0.0540,0.9150,0.000500,9.6
82,0.072958,0.063644,0.170390,0.00029411,0.000000,0.0547,0.9439,0.000500,9.6
83,0.073737,0.063429,0.186290,0.00029789,0.000000,0.0553,0.9874,0.000500,9.6
84,0.073323,0.062957,0.185114,0.00030084,0.000000,0.0560,1.0008,0.000500,9.6
85,0.073430,0.063791,0.170097,0.00030325,0.000000,0.0567,0.9994,0.000500,9.6
86,0.073079,0.063557,0.166066,0.00030609,0.000000,0.0573,0.9911,0.000500,9.6
87,0.072229,0.062679,0.164656,0.00030935,0.000000,0.0580,0.9776,0.000500,9.6
88,0.072592,0.063008,0.163355,0.00031228,0.000000,0.0587,0.9613,0.000500,9.6
89,0.072083,0.063101,0.151391,0.00031473,0.000000,0.0593,0.9373,0.000500,9.6
90,0.072071,0.063242,0.147140,0.00031750,0.000000,0.0600,0.9386,0.000500,9.6
91,0.071865,0.062357,0.156715,0.00032087,0.000000,0.0607,0.9606,0.000500,9.6
92,0.071631,0.061875,0.159073,0.00032439,0.000000,0.0613,0.9726,0.000500,9.6
93,0.071882,0.061785,0.162866,0.00032736,0.000000,0.0620,0.9659,0.000500,9.6
94,0.071258,0.061881,0.149626,0.00033032,0.000000,0.0627,0.9553,0.000500,9.6
95,0.071438,0.061504,0.156846,0.00033362,0.000000,0.0633,0.9656,0.000500,9.6
96,0.070922,0.061594,0.145751,0.00033670,0.000000,0.0640,0.9555,0.000500,9.6
97,0.070995,0.061744,0.143054,0.00033980,0.000000,0.0647,0.9527,0.000500,9.6
98,0.070865,0.061571,0.142257,0.00034329,0.000000,0.0653,0.9628,0.000500,9.6
99,0.070681,0.061204,0.143589,0.00034686,0.000000,0.0660,0.9757,0.000500,9.6
100,0.070744,0.061351,0.140894,0.00035023,0.000000,0.0667,0.9729,0.000500,9.6
101,0.070491,0.060808,0.143807,0.00035392,0.000000,0.0673,0.9725,0.000500,9.6
102,0.070440,0.060747,0.142547,0.00035752,0.000000,0.0680,0.9646,0.000500,9.6
103,0.070158,0.060979,0.133671,0.00036106,0.000000,0.0687,0.9544,0.000500,9.6
104,0.070373,0.060760,0.138647,0.00036505,0.000000,0.0693,0.9628,0.000500,9.6
105,0.070049,0.060852,0.131387,0.00036882,0.000000,0.0700,0.9559,0.000500,9.6
106,0.069995,0.060271,0.137601,0.00037309,0.000000,0.0707,0.9638,0.000500,9.6
107,0.069772,0.060397,0.131424,0.00037704,0.000000,0.0713,0.9611,0.000500,9.6
108,0.070059,0.060181,0.137194,0.00038128,0.000000,0.0720,0.9674,0.000500,9.6
109,0.070164,0.061028,0.125720,0.00038507,0.000000,0.0727,0.9530,0.000500,9.6
110,0.071345,0.061224,0.138004,0.00038962,0.000000,0.0733,0.9675,0.000500,9.6
