epoch,L_total,L_sdf,L_eik,L_z,L_2nd,eik_weight,grad_norm_mean,lr,time_s
1,0.129973,0.129337,0.954853,0.00009991,0.000000,0.0007,0.0229,0.000500,9.6
2,0.106897,0.105777,0.839799,0.00010025,0.000000,0.0013,0.0837,0.000500,9.4
3,0.119876,0.118465,0.705382,0.00010137,0.000000,0.0020,0.1604,0.000500,9.3
4,0.110291,0.108286,0.751834,0.00010198,0.000000,0.0027,0.1332,0.000500,9.4
5,0.104633,0.101937,0.808816,0.00010270,0.000000,0.0033,0.1008,0.000500,9.4
6,0.106124,0.102726,0.849402,0.00010383,0.000000,0.0040,0.0785,0.000500,9.4
7,0.107661,0.103605,0.869088,0.00010535,0.000000,0.0047,0.0679,0.000500,9.4
8,0.107249,0.102589,0.873660,0.00010717,0.000000,0.0053,0.0654,0.000500,9.4
9,0.105499,0.100287,0.868647,0.00010924,0.000000,0.0060,0.0681,0.000500,9.4
10,0.103519,0.097802,0.857597,0.00011153,0.000000,0.0067,0.0741,0.000500,9.4
11,0.102959,0.096768,0.844207,0.00011398,0.000000,0.0073,0.0814,0.000500,9.4
12,0.103912,0.097217,0.836854,0.00011648,0.000000,0.0080,0.0855,0.000500,9.4
13,0.103726,0.096450,0.839450,0.00011874,0.000000,0.0087,0.0842,0.000500,9.4
14,0.102193,0.094299,0.845754,0.00012062,0.000000,0.0093,0.0809,0.000500,9.4
15,0.100829,0.092338,0.849147,0.00012229,0.000000,0.0100,0.0794,0.000500,9.4
16,0.100694,0.091666,0.846402,0.00012400,0.000000,0.0107,0.0812,0.000500,9.4
17,0.100639,0.091149,0.837344,0.00012589,0.000000,0.0113,0.0867,0.000500,9.4
18,0.100033,0.090155,0.823161,0.00012798,0.000000,0.0120,0.0952,0.000500,9.4
19,0.099141,0.088945,0.804971,0.00013015,0.000000,0.0127,0.1063,0.000500,9.4
20,0.099269,0.088835,0.782501,0.00013220,0.000000,0.0133,0.1203,0.000500,9.4
21,0.098747,0.088153,0.756715,0.00013387,0.000000,0.0140,0.1368,0.000500,9.4
22,0.097365,0.086682,0.728377,0.00013527,0.000000,0.0147,0.1553,0.000500,9.4
23,0.096685,0.085978,0.698295,0.00013670,0.000000,0.0153,0.1759,0.000500,9.4
24,0.095843,0.085137,0.669136,0.00013835,0.000000,0.0160,0.1976,0.000500,9.4
25,0.093958,0.083250,0.642491,0.00014026,0.000000,0.0167,0.2204,0.000500,9.4
26,0.092099,0.081373,0.618785,0.00014241,0.000000,0.0173,0.2450,0.000500,9.4
27,0.090668,0.079951,0.595398,0.00014465,0.000000,0.0180,0.2750,0.000500,9.4
28,0.088198,0.077591,0.568186,0.00014691,0.000000,0.0187,0.3159,0.000500,9.4
29,0.086642,0.076107,0.544887,0.00014929,0.000000,0.0193,0.3660,0.000500,9.4
30,0.085788,0.074855,0.546635,0.00015183,0.000000,0.0200,0.3826,0.000500,9.4
31,0.084502,0.072949,0.559029,0.00015444,0.000000,0.0207,0.3661,0.000500,9.4
32,0.084286,0.072283,0.562660,0.00015695,0.000000,0.0213,0.3489,0.000500,9.4
33,0.082698,0.070743,0.543415,0.00015924,0.000000,0.0220,0.3589,0.000500,9.4
34,0.080532,0.069082,0.505147,0.00016136,0.000000,0.0227,0.3947,0.000500,9.4
35,0.078403,0.067478,0.468190,0.00016319,0.000000,0.0233,0.4342,0.000500,9.4
36,0.075677,0.064802,0.453118,0.00016466,0.000000,0.0240,0.4528,0.000500,9.4
37,0.073291,0.062396,0.441674,0.00016594,0.000000,0.0247,0.4742,0.000500,9.4
38,0.071030,0.060285,0.424130,0.00016726,0.000000,0.0253,0.5208,0.000500,9.4
39,0.069944,0.058598,0.436382,0.00016876,0.000000,0.0260,0.5453,0.000500,9.4
40,0.070958,0.058338,0.473228,0.00017031,0.000000,0.0267,0.5309,0.000500,9.4
41,0.072302,0.058518,0.504293,0.00017177,0.000000,0.0273,0.5044,0.000500,9.4
42,0.072816,0.058279,0.519172,0.00017319,0.000000,0.0280,0.4871,0.000500,9.4
43,0.072571,0.057837,0.513965,0.00017462,0.000000,0.0287,0.4951,0.000500,9.4
44,0.071643,0.057035,0.497991,0.00017604,0.000000,0.0293,0.5179,0.000500,9.4
45,0.070888,0.056553,0.477833,0.00017733,0.000000,0.0300,0.5373,0.000500,9.4
46,0.069990,0.055996,0.456324,0.00017841,0.000000,0.0307,0.5415,0.000500,9.4
47,0.069379,0.055429,0.445199,0.00017930,0.000000,0.0313,0.5263,0.000500,9.4
48,0.069482,0.055253,0.444639,0.00018015,0.000000,0.0320,0.5109,0.000500,9.4
49,0.069314,0.054851,0.442735,0.00018105,0.000000,0.0327,0.5138,0.000500,9.4
50,0.068993,0.054272,0.441627,0.00018201,0.000000,0.0333,0.5291,0.000500,9.4
51,0.069190,0.053801,0.452620,0.00018297,0.000000,0.0340,0.5367,0.000500,9.4
52,0.069689,0.053242,0.474423,0.00018390,0.000000,0.0347,0.5283,0.000500,9.4
53,0.070329,0.052918,0.492782,0.00018480,0.000000,0.0353,0.5168,0.000500,9.4
54,0.070829,0.052753,0.502108,0.00018567,0.000000,0.0360,0.5113,0.000500,9.4
55,0.070890,0.052458,0.502680,0.00018652,0.000000,0.0367,0.5132,0.000500,9.4
56,0.070593,0.052135,0.494427,0.00018733,0.000000,0.0373,0.5223,0.000500,9.4
57,0.069916,0.051753,0.477972,0.00018810,0.000000,0.0380,0.5341,0.000500,9.4
58,0.069324,0.051500,0.460973,0.00018886,0.000000,0.0387,0.5392,0.000500,9.4
59,0.069073,0.051199,0.454422,0.00018969,0.000000,0.0393,0.5336,0.000500,9.4
60,0.068915,0.050865,0.451257,0.00019067,0.000000,0.0400,0.5334,0.000500,9.4
61,0.068640,0.050377,0.449089,0.00019179,0.000000,0.0407,0.5412,0.000500,9.4
62,0.068545,0.049832,0.452728,0.00019300,0.000000,0.0413,0.5461,0.000500,9.4
63,0.068585,0.049422,0.456259,0.00019423,0.000000,0.0420,0.5484,0.000500,9.4
64,0.068513,0.048951,0.458470,0.00019543,0.000000,0.0427,0.5460,0.000500,9.4
65,0.068185,0.048521,0.453792,0.00019657,0.000000,0.0433,0.5481,0.000500,9.4
66,0.067486,0.047925,0.444553,0.00019770,0.000000,0.0440,0.5578,0.000500,9.4
67,0.066870,0.047449,0.434792,0.00019881,0.000000,0.0447,0.5694,0.000500,9.4
68,0.066670,0.047093,0.431838,0.00019990,0.000000,0.0453,0.5679,0.000500,9.4
69,0.066223,0.046676,0.424920,0.00020099,0.000000,0.0460,0.5729,0.000500,9.4
70,0.068253,0.047245,0.450170,0.00020201,0.000000,0.0467,0.5404,0.000500,9.4
71,0.070171,0.052455,0.374285,0.00020312,0.000000,0.0473,0.6458,0.000500,9.4
72,0.073048,0.050550,0.468693,0.00020359,0.000000,0.0480,0.5174,0.000500,9.4
73,0.069693,0.047396,0.458166,0.00020411,0.000000,0.0487,0.5198,0.000500,9.4
74,0.068546,0.048806,0.400136,0.00020475,0.000000,0.0493,0.5953,0.000500,9.4
75,0.066278,0.045880,0.407960,0.00020530,0.000000,0.0500,0.5966,0.000500,9.4
76,0.070344,0.047776,0.445418,0.00020585,0.000000,0.0507,0.5542,0.000500,9.4
77,0.067191,0.045295,0.426547,0.00020640,0.000000,0.0513,0.5644,0.000500,9.4
78,0.066157,0.046419,0.379571,0.00020699,0.000000,0.0520,0.6030,0.000500,9.4
79,0.065907,0.045152,0.394071,0.00020755,0.000000,0.0527,0.5732,0.000500,9.4
80,0.068024,0.044967,0.432331,0.00020816,0.000000,0.0533,0.5336,0.000500,9.4
81,0.068273,0.044817,0.434363,0.00020884,0.000000,0.0540,0.5486,0.000500,9.4
82,0.065993,0.043954,0.403139,0.00020951,0.000000,0.0547,0.6079,0.000500,9.4
83,0.066417,0.044393,0.398019,0.00021007,0.000000,0.0553,0.6177,0.000500,9.4
84,0.067193,0.043201,0.428427,0.00021051,0.000000,0.0560,0.5637,0.000500,9.4
85,0.068828,0.043975,0.438575,0.00021096,0.000000,0.0567,0.5408,0.000500,9.4
86,0.066777,0.042871,0.416976,0.00021147,0.000000,0.0573,0.5657,0.000500,9.4
87,0.066392,0.043630,0.392450,0.00021201,0.000000,0.0580,0.6032,0.000500,9.4
88,0.066203,0.042507,0.403895,0.00021253,0.000000,0.0587,0.5887,0.000500,9.4
89,0.068075,0.043363,0.416502,0.00021305,0.000000,0.0593,0.5668,0.000500,9.4
90,0.066165,0.042311,0.397558,0.00021361,0.000000,0.0600,0.5806,0.000500,9.4
91,0.065911,0.043078,0.376357,0.00021422,0.000000,0.0607,0.6007,0.000500,9.4
92,0.066160,0.042143,0.391590,0.00021484,0.000000,0.0613,0.5792,0.000500,9.4
93,0.067710,0.042613,0.404791,0.00021551,0.000000,0.0620,0.5684,0.000500,9.4
94,0.066390,0.041980,0.389531,0.00021620,0.000000,0.0627,0.5949,0.000500,9.4
95,0.066241,0.042348,0.377254,0.00021683,0.000000,0.0633,0.6091,0.000500,9.4
96,0.066806,0.041792,0.390844,0.00021738,0.000000,0.0640,0.5795,0.000500,9.4
97,0.067308,0.042029,0.390914,0.00021795,0.000000,0.0647,0.5734,0.000500,9.4
98,0.065897,0.041686,0.370565,0.00021857,0.000000,0.0653,0.6027,0.000500,9.4
99,0.065991,0.041697,0.368093,0.00021918,0.000000,0.0660,0.6072,0.000500,9.4
100,0.067024,0.041896,0.376926,0.00021977,0.000000,0.0667,0.5886,0.000500,9.4
101,0.065878,0.041471,0.362474,0.00022041,0.000000,0.0673,0.5994,0.000500,9.4
102,0.065779,0.041655,0.354768,0.00022106,0.000000,0.0680,0.6055,0.000500,9.4
103,0.066788,0.041633,0.366327,0.00022168,0.000000,0.0687,0.5911,0.000500,9.4
104,0.066023,0.041299,0.356602,0.00022236,0.000000,0.0693,0.6078,0.000500,9.4
105,0.065880,0.041416,0.349495,0.00022303,0.000000,0.0700,0.6141,0.000500,9.4
106,0.067033,0.041575,0.360248,0.00022364,0.000000,0.0707,0.5911,0.000500,9.4
107,0.066096,0.041320,0.347325,0.00022433,0.000000,0.0713,0.6092,0.000500,9.4
108,0.066037,0.041233,0.344502,0.00022500,0.000000,0.0720,0.6168,0.000500,9.4
109,0.066757,0.041394,0.349031,0.00022564,0.000000,0.0727,0.6051,0.000500,9.3
110,0.066016,0.041763,0.330721,0.00022636,0.000000,0.0733,0.6231,0.000500,9.3
111,0.067308,0.041730,0.345641,0.00022699,0.000000,0.0740,0.5982,0.000500,9.4
112,0.065948,0.041490,0.327562,0.00022776,0.000000,0.0747,0.6274,0.000500,9.3
113,0.066448,0.041270,0.334216,0.00022847,0.000000,0.0753,0.6169,0.000500,9.3
114,0.066148,0.041189,0.328407,0.00022926,0.000000,0.0760,0.6193,0.000500,9.3
115,0.066093,0.041077,0.326301,0.00023006,0.000000,0.0767,0.6213,0.000500,9.3
116,0.066538,0.041249,0.327008,0.00023087,0.000000,0.0773,0.6210,0.000500,9.3
117,0.066317,0.041823,0.314035,0.00023176,0.000000,0.0780,0.6346,0.000500,9.3
